id,listing_url,host_id,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
6575380,https://www.airbnb.com/rooms/6575380,34392395,https://www.airbnb.com/users/show/34392395,5/27/15,within a day,50%,100%,f,1,1,t,t,98109,47.63430018,-122.3570598,t,House,Private room,5,1,1,1,Real Bed,,150.00,540.00,1911.00,,,1,$0.00 ,1,1125,t,0,0,11,285,1/4/16,9,8/22/15,9/20/15,100,10,10,9,9,10,10,f,,WASHINGTON,f,flexible,f,f,1,1.99
6004058,https://www.airbnb.com/rooms/6004058,9031463,https://www.airbnb.com/users/show/9031463,9/24/13,within a day,50%,100%,f,1,1,t,t,98119,47.62834387,-122.3664054,t,Apartment,Entire home/apt,2,1,0,1,Futon,,100.00,,,,,1,$0.00 ,1,1125,t,28,58,87,87,1/4/16,20,4/18/15,1/2/16,92,9,9,9,9,9,9,f,,WASHINGTON,f,flexible,f,f,1,2.29
9550869,https://www.airbnb.com/rooms/9550869,12867960,https://www.airbnb.com/users/show/12867960,3/6/14,within a day,90%,100%,f,1,1,t,t,98119,47.63539394,-122.3689911,t,Bungalow,Entire home/apt,10,3,4,4,Real Bed,,349.00,,,,200.00,1,$0.00 ,1,1125,t,30,60,90,354,1/4/16,0,,,,,,,,,,f,,WASHINGTON,f,strict,f,f,1,
8515408,https://www.airbnb.com/rooms/8515408,3502513,https://www.airbnb.com/users/show/3502513,9/7/12,within an hour,100%,100%,f,1,1,t,t,98119,47.63803516,-122.3609101,t,Bungalow,Entire home/apt,2,1,0,1,Real Bed,,110.00,700.00,,,50.00,1,$0.00 ,2,1125,t,30,60,89,89,1/4/16,3,10/12/15,12/31/15,100,10,10,10,10,10,10,f,,WASHINGTON,f,moderate,f,f,1,1.06
5383192,https://www.airbnb.com/rooms/5383192,27606550,https://www.airbnb.com/users/show/27606550,2/11/15,N/A,N/A,N/A,f,1,1,t,t,98119,47.63933159,-122.3615994,t,House,Entire home/apt,4,1,1,2,Real Bed,,160.00,1140.00,,100.00,55.00,2,$25.00 ,2,1125,t,0,0,20,295,1/4/16,1,6/29/15,6/29/15,100,8,10,10,10,10,10,f,,WASHINGTON,f,moderate,f,f,1,0.16
1112092,https://www.airbnb.com/rooms/1112092,5856339,https://www.airbnb.com/users/show/5856339,4/10/13,within an hour,100%,100%,f,1,1,t,t,98119,47.63530805,-122.3665317,t,House,Entire home/apt,4,1,1,3,Real Bed,,130.00,1000.00,2700.00,140.00,75.00,2,$25.00 ,3,1125,t,30,60,89,89,1/4/16,26,5/5/13,12/29/15,95,10,10,9,10,10,9,f,,WASHINGTON,t,moderate,f,f,1,0.8
7772661,https://www.airbnb.com/rooms/7772661,40885963,https://www.airbnb.com/users/show/40885963,8/8/15,within an hour,100%,100%,f,1,1,t,t,98119,47.63737488,-122.3694109,t,House,Entire home/apt,2,1,0,1,Real Bed,,99.00,,,,50.00,2,$50.00 ,1,1125,t,25,51,81,142,1/4/16,2,12/20/15,12/21/15,100,10,10,10,10,10,10,f,,WASHINGTON,f,moderate,f,f,1,2
9254900,https://www.airbnb.com/rooms/9254900,27128936,https://www.airbnb.com/users/show/27128936,2/2/15,within an hour,100%,100%,f,1,1,t,t,98119,47.63829757,-122.3737787,f,Apartment,Entire home/apt,2,1,0,1,Real Bed,,100.00,,2000.00,,40.00,1,$0.00 ,1,1125,t,0,15,29,29,1/4/16,0,,,,,,,,,,f,,WASHINGTON,f,flexible,f,f,1,
7714294,https://www.airbnb.com/rooms/7714294,3521823,https://www.airbnb.com/users/show/3521823,9/10/12,N/A,N/A,N/A,f,2,2,t,t,98119,47.63175344,-122.3712717,t,Apartment,Entire home/apt,3,1,1,1,Futon,,137.00,815.00,,,20.00,2,$20.00 ,2,1125,t,0,0,28,303,1/4/16,3,8/18/15,9/3/15,100,10,10,10,10,10,10,f,,WASHINGTON,t,moderate,f,f,2,0.64
10310373,https://www.airbnb.com/rooms/10310373,53050379,https://www.airbnb.com/users/show/53050379,1/2/16,N/A,N/A,N/A,f,1,1,t,f,98119,47.63858056,-122.3753257,t,Apartment,Private room,3,1,1,1,Real Bed,,20.00,,,,,1,$0.00 ,1,1125,t,18,46,76,351,1/4/16,0,,,,,,,,,,f,,WASHINGTON,f,flexible,f,f,1,
